,SHIPMENT ID,CUSTOMER,DISTANCE,CASES,WEIGHT,VOLUME,SOURCE LOCATION ID,ORIGIN NAME,ORIGIN CITY,ORIGIN STATE,ORIGIN ZIP,DEST LOCATION ID,CONSIGNEE NAME,DEST CITY,DEST STATE,DEST ZIP,ACTUAL CARRIER,ACTUAL MODE,ACTUAL EQUIP,LINEHAUL COSTS,FUEL COSTS,ACC. COSTS,TOTAL ACTUAL COST,PU_APPT,DL_APPT,PU_ARRIVAL (X3),PU_DEPARTED (AF),DL_ARRIVAL (X1),DL_DEPARTED (D1)
2903,MTNORAM.B21111M00087,-8.13096E+17,214.92,1471,39513.61,14.71,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/27/2021 19:00,4/28/2021 13:00,4/27/2021 18:45,4/27/2021 20:00,4/28/2021 10:15,4/28/2021 12:15
2904,MTNORAM.B21111M00083,-8.13096E+17,214.92,1369,40153.55,13.69,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/30/2021 19:00,5/1/2021 15:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2905,MTNORAM.B21111M00084,-8.13096E+17,1198,2081,41433.61,20.81,-5.40278E+17,4.85507E+18,BOLINGBROOK,IL,60440,7.26052E+18,-6.86379E+18,TAMPA,FL,33619,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,2890,371.38,0,3261.38,5/5/2021 13:00,5/7/2021 9:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2906,MTNORAM.B21111M00089,-8.13096E+17,337.96,1681,42550.75,16.81,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,8.68318E+18,-7.40848E+18,SAINT PAUL,MN,55116,5.38831E+18,MTNORAM.TL,MTNORAM.53DV,1161.3,104.77,0,1266.07,4/27/2021 12:00,4/28/2021 10:30,4/27/2021 12:00,4/27/2021 14:00,4/28/2021 10:00,4/28/2021 11:15
2907,MTNORAM.B21111M00091,-8.13096E+17,214.97,2040,40024.8,20.4,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.64,0,1416.64,4/27/2021 13:00,4/28/2021 13:00,4/27/2021 12:00,4/27/2021 13:00,4/28/2021 10:00,4/28/2021 12:00
2908,MTNORAM.B21111M00092,-8.13096E+17,13.08,1000,43270.16,10,5.51329E+18,-6.07919E+18,AMHERSTBURG,ON,N9V 2N8,4.8519E+18,1.46492E+18,WINDSOR,ON,N9C 3Z1,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,175,58.1,0,233.1,4/22/2021 17:04,4/26/2021 9:00,4/22/2021 12:13,4/22/2021 12:57,4/26/2021 7:50,4/24/2021 13:00
2909,MTNORAM.B21111M00093,-8.13096E+17,214.92,1369,40153.55,13.69,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/28/2021 6:00,4/29/2021 7:00,4/28/2021 5:45,4/28/2021 8:45,NO EVENT,NO EVENT
2910,MTNORAM.B21111M00095,-8.13096E+17,214.92,1369,40153.55,13.69,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/30/2021 7:00,5/1/2021 7:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2911,MTNORAM.B21111M00096,-8.13096E+17,1682.18,98,3882.09,0.98,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-8.74207E+18,8.99631E+18,CHINO,CA,91710,-4.52962E+18,MTNORAM.LTL,MTNORAM.53DV,669,95.67,0,764.66,4/23/2021 8:00,4/30/2021 20:04,4/26/2021 19:05,4/26/2021 20:21,NO EVENT,NO EVENT
2912,MTNORAM.B21111M00097,-8.13096E+17,2042.2,1369,41491.84,13.69,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,6.82967E+18,1.58459E+18,SAN DIEGO,CA,92121,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,2590,633.08,0,3223.08,4/28/2021 16:00,5/4/2021 7:30,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2913,MTNORAM.B21111M00094,-8.13096E+17,214.97,2040,40024.8,20.4,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,1075,66.64,0,1141.64,4/27/2021 11:00,4/28/2021 11:00,4/27/2021 5:41,4/27/2021 5:57,4/28/2021 8:16,4/28/2021 12:32
2914,MTNORAM.B21111M00099,-8.13096E+17,448.11,1379,43156.38,13.79,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-1.26635E+18,-4.31445E+18,TULLAHOMA,TN,37388,5.38831E+18,MTNORAM.TL,MTNORAM.53DV,1746.6,138.91,0,1885.51,4/23/2021 15:00,4/26/2021 9:30,4/23/2021 12:00,4/23/2021 15:00,4/26/2021 10:30,4/26/2021 10:30
2915,MTNORAM.B21111M00098,-8.13096E+17,633.4,1541,43858.75,15.41,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,1.65857E+18,-4.64617E+18,RICHMOND,VA,23230,5.38831E+18,MTNORAM.TL,MTNORAM.53DV,2549.91,196.35,0,2746.26,4/23/2021 15:00,4/26/2021 7:30,4/23/2021 15:00,4/23/2021 15:00,4/28/2021 12:00,4/28/2021 14:00
2916,MTNORAM.B21111M00102,-8.13096E+17,214.92,1471,39513.61,14.71,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/27/2021 19:00,4/28/2021 14:00,4/27/2021 20:00,4/27/2021 20:00,4/28/2021 10:15,4/28/2021 12:15
2917,MTNORAM.B21111M00100,-8.13096E+17,84.8,2081,41564.05,20.81,-5.40278E+17,4.85507E+18,BOLINGBROOK,IL,60440,1.84149E+18,-1.4786E+18,NEW BERLIN,WI,53151-0946,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,790,26.29,0,816.29,4/28/2021 8:00,4/28/2021 13:00,4/28/2021 7:00,4/28/2021 7:00,4/28/2021 11:01,4/28/2021 13:00
2918,MTNORAM.B21111M00105,-8.13096E+17,1115.9,1667,42235.65,16.67,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,-3.87224E+18,-1.4156E+18,AUGUSTA,ME,4330,-2.79537E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,2050,471.5,75,2596.5,4/24/2021 1:00,4/29/2021 10:30,4/24/2021 6:02,4/24/2021 8:02,NO EVENT,NO EVENT
2919,MTNORAM.B21111M00104,-8.13096E+17,214.92,1369,40153.55,13.69,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/30/2021 14:00,5/1/2021 10:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2920,MTNORAM.B21111M00103,-8.13096E+17,578.97,1939,38292.85,19.39,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,4.47155E+18,-8.97223E+17,WILLIAMSPORT,PA,17701,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,2010,179.48,0,2189.48,4/29/2021 14:00,4/30/2021 15:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2921,MTNORAM.B21111M00110,-8.13096E+17,598.75,1657,42944.61,16.57,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,8.29682E+18,5.96282E+18,CHANTILLY,VA,20151,5.38831E+18,MTNORAM.TL,MTNORAM.53DV,2545,185.61,0,2730.61,4/23/2021 15:00,4/26/2021 8:30,4/23/2021 15:00,4/23/2021 15:00,4/26/2021 8:30,4/26/2021 8:30
2922,MTNORAM.B21111M00108,-8.13096E+17,214.92,1369,40153.55,13.69,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/30/2021 12:00,5/1/2021 9:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
2923,MTNORAM.B21111M00111,-8.13096E+17,1216.45,1369,41420.73,13.69,-5.40278E+17,4.85507E+18,BOLINGBROOK,IL,60440,-3.47469E+18,-6.46094E+18,MCALLEN,TX,78504,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,2240,435.02,0,2675.02,4/28/2021 13:00,4/30/2021 11:00,4/28/2021 11:10,NO EVENT,NO EVENT,NO EVENT
2924,MTNORAM.B21111M00112,-8.13096E+17,380.03,1300,43420.08,13,4.33058E+18,-5.75411E+18,PLAINFIELD,IL,60544,7.23279E+18,-3.67339E+17,NASHVILLE,TN,37207,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,1603,117.81,0,1720.81,4/27/2021 13:00,4/28/2021 11:00,4/27/2021 9:17,4/27/2021 10:12,4/28/2021 8:18,4/28/2021 9:57
2925,MTNORAM.B21111M00118,-8.13096E+17,2310.6,1121,35482.6,11.21,-4.89478E+18,-3.43621E+18,VALLEYFIELD,PQ,J6T 2G9,-5.1287E+18,-3.16447E+18,ST ALBERT,AB,T8N 6K3,7.26686E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1850,268.62,0,2118.62,4/23/2021 0:00,4/30/2021 7:00,4/22/2021 15:08,4/23/2021 18:35,NO EVENT,NO EVENT
2926,MTNORAM.B21111M00117,-8.13096E+17,2310.6,1281,31412.2,12.81,-4.89478E+18,-3.43621E+18,VALLEYFIELD,PQ,J6T 2G9,-5.1287E+18,-3.16447E+18,ST ALBERT,AB,T8N 6K3,7.26686E+18,MTNORAM.INTERMODAL,MTNORAM.53DV,1850,268.62,0,2118.62,4/23/2021 0:00,4/30/2021 6:00,4/22/2021 13:44,4/23/2021 18:59,NO EVENT,NO EVENT
2927,MTNORAM.B21111M00119,-8.13096E+17,214.97,2040,40392,20.4,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-6.04929E+18,-5.75411E+18,PLAINFIELD,IL,60544,5.75705E+18,MTNORAM.TL,MTNORAM.53DV,1075,66.64,0,1141.64,4/28/2021 11:00,4/29/2021 11:00,4/28/2021 9:52,4/28/2021 11:17,NO EVENT,NO EVENT
2928,MTNORAM.B21111M00124,-8.13096E+17,214.92,1369,40153.55,13.69,-2.51176E+18,-5.95049E+18,LA CROSSE,WI,54601,-2.63175E+18,-2.28206E+18,BOLINGBROOK,IL,60440,9.62113E+17,MTNORAM.TL,MTNORAM.53DV,1350,66.63,0,1416.63,4/28/2021 7:00,4/29/2021 7:00,4/28/2021 6:45,4/28/2021 8:00,NO EVENT,NO EVENT
2929,MTNORAM.B21111M00127,-8.13096E+17,312.8,1441,42508.81,14.41,-5.40278E+17,4.85507E+18,BOLINGBROOK,IL,60440,3.28526E+18,-2.77751E+18,EVENDALE,OH,45241,-3.13586E+18,MTNORAM.TL,MTNORAM.53DV,1240,96.97,0,1336.97,4/29/2021 13:00,4/30/2021 9:00,NO EVENT,NO EVENT,NO EVENT,NO EVENT
